,X.,event,Theme,Account.Users,Metric.Count,Graph.Origin,Number.of.Graphs.on.Dashboard,number.of.graphs,time,Company.ID,Graphs.owned,weekday,X_city,Connector.Backend,Template,Data.Sources.Owned,Data.Format,Account.Type,dashboard.Template.Name,KPI.Count,Client,source,Graph.Origin,Guide.Name,Guide.Type,,,
87,87,Trial Sign Up Completed,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,,,,,
88,88,View Dashboard,Light,13,NA,,NA,0,8/1/2018 0:10,938922ddb1a818ff3b39b8178ba9a3a1,NA,Wednesday,Ho Chi Minh City,,,0,,Direct,,NA,Phone App,0,,,,,,
89,89,Guide Start,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
90,90,Create Data Source,,1,NA,,NA,8,8/1/2018 0:10,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,,,,,,
91,91,View Dashboard,Light,69,NA,,NA,0,8/1/2018 0:10,bb44ea9a534e3f0e0b6a723cf87eba42,NA,Wednesday,Canton,,,0,,Direct,,NA,Phone App,0,,,,,,
92,92,Data Source Connector,,1,NA,,NA,8,8/1/2018 0:10,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,,,,,,
93,93,View Dashboard,Light,71,NA,,NA,7,8/1/2018 0:10,013e23de101611ec4ba9f65a089981aa,NA,Wednesday,Querétaro City,,,10,,Direct,,NA,Phone App,10,,,,,,
94,94,View Dashboard,Light,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,,,,,
95,95,Guide Start,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
96,96,Guide Exit,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
